"categoria,""centroide_lat"",""centroide_lon"",""fuente"",""id"",""nombre"",""nombre_completo"",""provincia_id"",""provincia_interseccion"",""provincia_nombre"""
"Departamento,-31.290298372,-58.23786969,""IGN"",""30015"",""Concordia"",""Departamento Concordia"",""30"",0.04146816645164685,""Entre Ríos"""
"Departamento,-26.52104235,-62.728013928,""IGN"",""86014"",""Alberdi"",""Departamento Alberdi"",""86"",0.09305872316108595,""Santiago del Estero"""
"Departamento,-31.03503131,-65.41197244,""IGN"",""14070"",""Minas"",""Departamento Minas"",""14"",0.021426746067843644,""Córdoba"""
"Departamento,-31.708028328,-65.156514737,""IGN"",""14126"",""San Alberto"",""Departamento San Alberto"",""14"",0.020483724929477795,""Córdoba"""
"Departamento,-31.73310879,-63.474855521,""IGN"",""14119"",""Río Segundo"",""Departamento Río Segundo"",""14"",0.031140857781435646,""Córdoba"""
"Departamento,-31.242567097,-62.527589057,""IGN"",""14140"",""San Justo"",""Departamento San Justo"",""14"",0.09349485116579959,""Córdoba"""
"Departamento,-32.878381661,-62.791597056,""IGN"",""14182"",""Unión"",""Departamento Unión"",""14"",0.06663874097279908,""Córdoba"""
"Departamento,-32.287680023,-63.779004896,""IGN"",""14161"",""Tercero Arriba"",""Departamento Tercero Arriba"",""14"",0.031245898346984994,""Córdoba"""
"Departamento,-24.988543936,-65.403816109,""IGN"",""66035"",""Cerrillos"",""Departamento Cerrillos"",""66"",0.0034965840642226503,""Salta"""
"Departamento,-33.330534189,-64.493134309,""IGN"",""14098"",""Río Cuarto"",""Departamento Río Cuarto"",""14"",0.114106099222601,""Córdoba"""
"Departamento,-33.293400987,-69.296285903,""IGN"",""50126"",""Tupungato"",""Departamento Tupungato"",""50"",0.01621206658601519,""Mendoza"""
"Partido,-35.46618301,-58.389651959,""IGN"",""06343"",""General Paz"",""Partido de General Paz"",""06"",0.003859335754652366,""Buenos Aires"""
"Partido,-36.666034542,-57.995736595,""IGN"",""06308"",""General Guido"",""Partido de General Guido"",""06"",0.007595352012165537,""Buenos Aires"""
"Partido,-37.153515719,-57.230660595,""IGN"",""06315"",""General Juan Madariaga"",""Partido de General Juan Madariaga"",""06"",0.009798211242702339,""Buenos Aires"""
"Departamento,-30.020506998,-62.280260407,""IGN"",""86154"",""Rivadavia"",""Departamento Rivadavia"",""86"",0.025091287806289015,""Santiago del Estero"""
